simulation_id,triggered,trigger_time,payoff,final_salary,min_salary,avg_salary
2144,True,15.0,9631.944177208212,2974.139461385084,2974.139461385084,3859.518594817418
2145,True,16.0,9607.894391523227,2992.1388947606797,2992.1388947606797,4072.1263542174956
2146,True,13.0,9680.224498313057,2961.870662490562,2935.2801580767646,3858.2333653742885
2147,True,23.0,9441.218903864214,3260.893487618024,3257.4626451976583,4196.734913709755
2148,True,20.0,9512.294245007133,2998.6606920609393,2998.6606920609393,3993.607226861334
2149,True,12.0,9704.455335485078,3514.1705050437513,3514.1705050437513,4222.706455600573
2150,True,18.0,9559.974818330991,3037.772087669929,3036.3298164226953,4037.788935489157
2151,True,25.0,9394.130628134748,3503.626767096654,3394.265062381572,4430.512106561307
2152,True,25.0,9394.130628134748,3151.5774982331886,3151.5774982331886,4243.763424306561
2153,True,27.0,9347.277206160265,4235.797715588855,4065.1808979711323,4547.359916915128
2154,True,38.0,9093.7293446823,3869.239938658913,3869.239938658913,4710.341862227365
2155,True,11.0,9728.746825534536,3705.8264039476676,3705.8264039476676,4231.085860173315
2156,True,19.0,9536.104731326255,3199.1813567451068,3199.1813567451068,4156.082408210315
2157,True,13.0,9680.224498313057,2630.196994475588,2630.196994475588,3743.5657364306503
2158,True,24.0,9417.645335842479,3504.001407669477,3479.184219540242,4413.297016148306
2159,True,18.0,9559.974818330991,2885.141429275908,2836.8503757215863,3906.1560675457704
2160,True,30.0,9277.434863285518,3866.268599987068,3866.268599987068,4592.606576865338
2161,True,9.0,9777.51237193336,2803.902146486171,2803.902146486171,3860.396577142247
2162,True,29.0,9300.657466602774,3539.1876013018446,3539.1876013018446,4453.916142485178
2163,True,11.0,9728.746825534536,2937.52095878548,2937.52095878548,3839.194859197502
2164,True,16.0,9607.894391523227,3470.037083665945,3318.1245334472637,4060.565695582074
2165,True,7.0,9826.522356650728,2937.1861029105416,2937.1861029105416,3643.306864711435
2166,True,25.0,9394.130628134748,3221.1319235188716,3172.4537916456193,4154.587588013663
2167,True,14.0,9656.05416257566,3024.194901036021,3007.872694701425,3882.9262199217073
2168,True,17.0,9583.904655209462,3046.580496530999,3040.610267964336,4024.9078791896677
2169,True,13.0,9680.224498313057,2912.6284136653826,2912.6284136653826,3910.4489448144845
2170,True,34.0,9185.122844014562,3983.0516930997996,3983.0516930997996,4570.536858100689
2171,True,10.0,9753.099120283323,3266.5629920306233,3140.2489809369845,3910.3037160652175
2172,True,36.0,9139.311852712268,3915.605158443127,3877.2763671022713,4518.968286422224
